size,stones,score_komi,score_neural,winrate_komi
9,BA3 WA6,5.5,5.539114,0.520099725
9,BA3 WA7,6.0,6.29422976,0.553415823
9,BA3 WA8,6.5,6.69534423,0.536355887
9,BA3 WA9,11.0,10.9030341,0.511505028
9,BA3 WB1,7.0,6.87407564,0.490289661
9,BA3 WB2,2.5,2.42537956,0.549902314
9,BA3 WB3,2.0,1.93183135,0.488724296
9,BA3 WB4,0.0,-0.0681648134,0.464257131
9,BA3 WB5,-0.5,-0.126670201,0.556206727
9,BA3 WB6,0.5,0.352050648,0.494474582
9,BA3 WB7,1.5,1.24655074,0.525705131
9,BA3 WB8,3.0,2.8121353,0.525890334
9,BA3 WB9,6.5,6.62131161,0.547309578
9,BA3 WC1,6.5,6.34141082,0.506713233
9,BA3 WC2,1.0,0.813243556,0.514179401
9,BA3 WC3,-0.5,-0.559071441,0.444505355
9,BA3 WC4,-1.0,-0.621014292,0.48666006
9,BA3 WC5,-2.0,-1.14885353,0.546395304
9,BA3 WC6,-2.0,-1.62923049,0.480762968
9,BA3 WC7,-0.5,-0.289469672,0.50821312
9,BA3 WC8,1.5,1.04387942,0.536772453
9,BA3 WC9,6.5,6.13212734,0.455805592
9,BA3 WD1,6.0,5.6494698,0.449471742
9,BA3 WD2,0.5,0.464869775,0.516762173
9,BA3 WD3,-1.5,-1.16877144,0.510831739
9,BA3 WD4,-1.5,-1.12145807,0.477029606
9,BA3 WD5,-2.0,-1.91578313,0.43028551
9,BA3 WD6,-2.5,-1.83634073,0.50314853
9,BA3 WD7,-1.5,-1.01337547,0.504227094
9,BA3 WD8,0.5,0.288385715,0.467462276
9,BA3 WD9,5.5,5.39478999,0.499216295
9,BA3 WE1,5.5,5.31564471,0.486593409
9,BA3 WE2,0.0,0.0716787968,0.503751164
9,BA3 WE3,-2.0,-1.74061135,0.475843226
9,BA3 WE4,-2.0,-1.43801646,0.502905266
9,BA3 WE5,-2.0,-1.26747571,0.531013131
9,BA3 WE6,-2.5,-1.91793275,0.529260227
9,BA3 WE7,-1.5,-0.954590661,0.509899125
9,BA3 WE8,0.0,0.199401816,0.531222434
9,BA3 WE9,5.5,5.23450953,0.514012061
9,BA3 WF1,5.5,5.50396585,0.514120416
9,BA3 WF2,0.5,0.339906133,0.477290558
9,BA3 WF3,-1.5,-1.22416809,0.446482638
9,BA3 WF4,-2.0,-1.10651508,0.533847404
9,BA3 WF5,-2.0,-1.44887663,0.492047876
9,BA3 WF6,-1.5,-1.3631905,0.451184841
9,BA3 WF7,-1.0,-0.645194039,0.507123761
9,BA3 WF8,0.5,0.483158034,0.52275596
9,BA3 WF9,6.0,5.61782,0.48655782
9,BA3 WG1,6.5,6.45584101,0.492969595
9,BA3 WG2,1.5,1.13830757,0.508996422
9,BA3 WG3,-0.5,-0.411490928,0.435723577
9,BA3 WG4,-1.5,-1.13801511,0.461137382
9,BA3 WG5,-1.5,-0.801415647,0.487081267
9,BA3 WG6,-1.5,-1.31232312,0.40082449
9,BA3 WG7,0.0,-0.034831487,0.46670026
9,BA3 WG8,2.0,1.39505616,0.470365555
9,BA3 WG9,6.5,6.57567036,0.500744119
9,BA3 WH1,6.5,6.82480107,0.525573889
9,BA3 WH2,3.5,3.03285609,0.476756399
9,BA3 WH3,2.0,1.47466975,0.471368599
9,BA3 WH4,0.5,0.339385124,0.472684907
9,BA3 WH5,0.0,0.187764314,0.517566676
9,BA3 WH6,1.0,0.775612033,0.48911577
9,BA3 WH7,1.0,0.951797469,0.549767123
9,BA3 WH8,3.5,2.98338217,0.464855257
9,BA3 WH9,7.0,6.75038284,0.477806717
9,BA3 WJ1,11.0,10.8649815,0.500878119
9,BA3 WJ2,6.5,6.86624841,0.521029161
9,BA3 WJ3,6.5,6.29432515,0.471867791
9,BA3 WJ4,5.5,5.39882,0.540283868
9,BA3 WJ5,5.5,5.00668407,0.51066613
9,BA3 WJ6,5.5,5.31720551,0.487384552
9,BA3 WJ7,6.0,6.07960731,0.52463688
9,BA3 WJ8,6.5,6.67909707,0.519738424
9,BA3 WJ9,11.0,10.9411472,0.524422101
9,BA4 BA5,3.0,2.86538783,0.458586405
9,BA4 BA6,3.5,3.99415372,0.537321947
9,BA4 BB2,5.0,5.14435673,0.472337072
9,BA4 BB3,6.5,6.6131015,0.441753882
9,BA4 BB4,6.0,6.68034296,0.487965207
9,BA4 BB5,7.5,8.29855186,0.511044518
9,BA4 BB6,8.0,8.67452063,0.451049811
9,BA4 BB7,7.0,7.85219716,0.537368939
9,BA4 BB8,5.5,5.75025374,0.449623025
9,BA4 BC2,6.0,6.72163162,0.506073705
9,BA4 BC3,9.0,9.4806566,0.462029945
9,BA4 BC4,9.5,10.274731,0.493387227
9,BA4 BC5,9.5,9.7035076,0.479986541
9,BA4 BC6,10.0,10.599055,0.489010443
9,BA4 BC7,9.5,9.99851868,0.485963865
9,BA4 BC8,6.0,7.21603248,0.537543221
9,BA4 BD1,2.5,2.66527488,0.47139434
9,BA4 BD2,7.5,8.24135774,0.504963064
9,BA4 BD3,9.5,9.92645989,0.490213864
9,BA4 BD4,10.5,10.848488,0.473109219
9,BA4 BD5,10.0,10.4628715,0.523403639
9,BA4 BD6,10.5,11.0577342,0.495759534
9,BA4 BD7,9.5,10.1434263,0.529109011
9,BA4 BD8,7.5,8.47006919,0.50828612
9,BA4 BD9,3.0,3.09278227,0.552855381
9,BA4 BE1,3.0,3.40148489,0.525549048
9,BA4 BE2,8.0,9.06952688,0.528374575
9,BA4 BE3,10.0,10.335769,0.493927913
9,BA4 BE4,11.0,11.4983807,0.5170061
9,BA4 BE5,11.5,12.1188543,0.539602413
